membre_id,tache_id
5,1
5,2
5,3
5,5
5,6
6,1
6,2
6,3
6,4
6,5
6,6
6,7
6,8
6,9
6,10
6,11
6,12
6,13
6,14
7,1
7,2
7,3
7,4
7,7
7,9
7,12
7,14
8,5
8,6
8,7
8,8
8,10
8,11
8,13
8,14
9,1
9,2
9,5
9,6
9,7
9,8
9,10
9,11
9,13
9,14
10,11
10,12
10,14
11,5
11,6
11,8
11,10
11,14
12,5
12,6
12,8
13,1
13,2
13,3
13,5
13,6
13,7
13,9
13,10
13,13
13,14
14,1
14,2
14,3
14,4
14,7
14,9
14,11
14,12
14,14
15,1
15,5
15,6
15,7
15,9
15,14
16,5
16,6
16,7
16,8
16,10
16,11
16,12
16,13
16,14
17,1
17,2
17,5
17,6
17,7
17,8
17,10
17,13
18,5
18,6
18,8
18,10
19,1
19,2
19,3
19,4
19,7
19,9
19,11
19,12
19,14
20,5
20,6
20,7
20,8
20,10
21,3
21,7
21,9
21,10
21,12
21,14
22,1
22,2
22,3
22,4
22,5
22,6
22,7
22,10
22,11
22,12
22,13
22,14
23,2
23,5
23,6
23,7
23,8
23,10
23,11
23,12
23,14
24,4
24,9
24,12
24,14
25,5
25,6
25,14
26,1
26,5
26,6
26,7
26,8
26,11
26,13
26,14
27,1
27,6
28,5
28,6
28,8
29,2
29,5
29,6
29,7
29,8
30,1
30,2
30,3
30,4
30,5
30,6
30,7
30,8
30,10
30,11
30,12
30,13
30,14
31,5
31,6
31,8
31,10
32,3
32,4
32,9
32,11
32,12
32,14
33,2
33,5
33,6
33,12
34,2
34,3
34,5
34,6
34,8
35,5
35,6
35,7
35,8
35,10
35,11
35,13
35,14
36,1
36,2
36,3
36,4
36,5
36,6
36,7
36,9
36,10
36,11
36,12
36,13
36,14
37,1
37,2
37,3
37,4
37,5
37,6
37,7
37,8
37,10
37,11
37,13
37,14
38,5
38,6
38,7
38,8
38,10
38,13
38,14
39,5
39,6
39,7
39,8
40,5
40,6
41,12
42,1
42,2
42,5
42,6
42,7
42,8
42,11
42,12
42,13
42,14
43,1
43,3
43,5
43,6
43,7
43,8
43,11
43,12
43,13
43,14
44,5
44,6
45,5
45,6
46,2
46,5
46,6
46,7
46,8
46,11
46,13
46,14
47,5
47,6
47,7
47,8
47,11
47,13
48,1
48,2
48,3
48,5
48,6
48,7
48,8
48,10
48,12
49,1
49,2
49,5
49,6
49,8
49,11
49,13
50,5
50,6
50,8
51,1
51,5
51,6
51,8
52,12

